x,y,temp
13,12,15.92
13,21,17.38
14,30,18.85
14,39,19.82
14,48,20.80
15,58,21.78
14,66,22.27
15,84,22.27
16,92,22.27
16,101,21.78
17,110,20.80
18,119,19.82
19,128,18.85
20,137,17.38
20,146,15.92
128,152,16.41
127,152,17.38
112,153,18.36
109,154,19.34
111,154,19.82
107,155,19.82
105,155,20.31
101,155,19.82
107,155,19.34
116,156,18.85
125,155,17.87
142,156,15.92
150,155,14.94
159,155,13.48
164,93,14.45
164,77,15.92
165,96,17.38
165,103,18.36
165,107,19.34
165,109,20.31
165,100,20.80
164,91,21.29
164,82,21.29
163,72,21.29
163,62,20.80
162,0,19.34
162,38,18.36
162,29,16.89
162,20,15.43
162,11,13.96
40,6,14.45
49,5,15.43
56,5,16.89
58,5,17.87
100,5,18.36
103,5,19.34
94,6,19.82
79,5,19.82
70,5,19.82
66,5,19.34
58,5,18.85
49,5,17.87
40,4,16.89
31,5,15.43
22,5,14.45
18,7,15.92
18,16,17.38
18,26,18.85
18,34,20.31
18,44,21.29
18,52,22.27
19,61,23.24
19,71,23.73
19,80,23.73
19,89,23.24
20,98,22.75
21,107,22.27
20,115,20.80
20,125,19.82
21,134,18.36
36,138,19.34
46,138,20.80
54,137,22.27
64,137,23.73
72,137,24.22
81,137,24.71
91,137,25.20
99,137,24.71
108,136,24.22
118,135,23.73
127,135,22.75
135,134,21.78
144,134,19.82
153,134,18.36
159,59,18.85
160,84,19.82
161,115,20.80
161,106,21.29
161,98,21.78
161,88,22.27
161,79,22.27
161,69,21.78
161,61,21.29
161,52,20.31
161,43,19.34
161,34,17.87
161,25,16.41
146,21,17.87
138,21,19.34
128,22,20.80
119,22,22.27
110,22,23.24
101,22,24.22
92,23,24.71
83,24,24.71
74,24,24.71
65,24,24.22
56,24,23.24
47,25,22.27
38,25,21.29
34,27,22.75
33,36,24.22
34,45,25.20
34,54,26.17
34,63,27.15
34,73,27.64
35,81,27.64
35,91,27.15
35,100,26.66
35,109,25.20
36,118,24.22
37,127,22.75
51,130,23.73
61,161,25.68
77,131,26.17
86,130,26.66
96,130,26.66
104,131,26.17
113,131,25.20
122,130,24.22
131,130,23.24
140,131,21.78
145,130,22.27
145,122,23.73
145,111,24.71
145,103,25.68
145,93,26.17
145,85,26.66
145,75,26.17
145,67,25.68
145,57,24.71
145,48,23.73
145,40,22.27
145,31,20.80
130,27,21.78
120,28,23.24
112,27,24.22
102,28,25.20
93,28,25.68
84,28,25.68
75,28,25.68
65,28,25.20
57,28,24.22
48,28,23.24
43,28,24.71
42,38,26.17
42,47,27.15
41,55,28.12
41,66,28.61
41,74,29.10
42,83,29.10
42,92,28.61
42,101,27.64
42,110,26.66
42,120,25.20
57,125,25.68
66,124,26.66
75,125,27.64
84,125,27.64
93,125,27.64
102,126,27.64
111,125,26.66
121,124,26.17
130,124,24.71
134,123,26.17
134,113,27.15
134,105,28.12
134,96,28.61
135,87,28.61
135,77,28.61
135,69,28.12
135,60,27.15
135,51,26.17
136,42,24.71
121,37,25.68
111,37,26.66
102,36,27.15
93,36,27.64
84,36,28.12
75,36,27.64
66,37,27.15
57,36,26.17
54,36,28.12
54,45,29.59
54,55,30.57
55,63,31.54
55,73,31.54
55,82,31.54
54,91,31.05
54,100,30.08
54,110,29.10
69,114,29.59
79,113,30.08
87,112,30.57
96,111,30.57
104,111,30.57
113,109,30.08
122,108,28.61
126,107,29.59
126,98,30.57
125,89,31.05
126,80,30.57
125,70,30.57
125,61,29.59
125,52,28.12
109,48,29.10
100,48,30.08
90,48,30.57
82,48,30.57
72,49,30.08
64,48,29.59
60,50,30.57
60,58,32.03
60,68,32.52
60,77,32.52
60,86,32.52
61,95,31.54
84,97,33.01
93,96,33.01
101,96,33.01
110,95,32.03
116,96,32.03
117,86,32.03
117,78,32.03
117,68,31.54
103,66,32.52
94,66,33.50
84,67,33.50
76,67,33.01
70,68,33.50
69,78,33.98
68,86,33.50
82,92,33.50
92,92,33.50
100,92,33.50
107,93,33.50
107,83,33.50
107,74,33.50
93,70,33.50
84,70,33.98
80,71,34.47
80,79,34.47
90,83,34.47
